prompt_id,model,accuracy,hallucination_resistance,relevance,instruction_following,conciseness,task_completion,composite_score,value_index,useful_density,consistency_score,rationale,notable_issues,one_line_verdict,judge_error
hallucination_q1,openai/gpt-4o-mini,4,4,4,4,4,4,4.0,3.521,1.653,0.815,Scores reflect quality against ground truth and task requirements.,minor verbosity,Fast and concise — solid for everyday straightforward queries.,
hallucination_q1,google/gemini-2.0-flash-001,4,4,4,4,5,4,4.167,4.05,1.886,0.771,Scores reflect quality against ground truth and task requirements.,none,Good accuracy on factual tasks; strong instruction following.,
hallucination_q1,deepseek/deepseek-chat,4,4,4,4,4,4,4.0,4.0,1.762,0.793,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,
hallucination_q1,meta-llama/llama-3.3-70b-instruct,1,5,1,1,5,1,2.33,1.0,0.0,0.9,Model refused or excessively hedged without completing the task.,refusal/over-hedging,Refused to answer — not useful for this task.,
summarization_q1,anthropic/claude-sonnet-4-5,5,4,5,5,4,5,4.667,4.75,3.457,0.837,Scores reflect quality against ground truth and task requirements.,none,"Accurate and thorough — strong choice for complex, high-stakes tasks.",
summarization_q1,openai/gpt-4o-mini,4,5,4,5,4,4,4.333,4.3,2.778,0.789,Scores reflect quality against ground truth and task requirements.,none,Fast and concise — solid for everyday straightforward queries.,
summarization_q1,google/gemini-2.0-flash-001,4,4,4,5,4,4,4.167,4.1,1.903,0.751,Scores reflect quality against ground truth and task requirements.,minor verbosity,Excellent cost-efficiency — one of the best value-per-token models.,
summarization_q1,deepseek/deepseek-chat,5,4,4,4,3,4,4.0,4.2,1.347,0.841,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,
summarization_q1,meta-llama/llama-3.3-70b-instruct,4,3,3,4,4,3,3.5,3.4,3.07,0.816,Scores reflect quality against ground truth and task requirements.,none,Good budget option for volume tasks.,
instruction_q1,anthropic/claude-sonnet-4-5,4,5,4,4,4,4,4.167,4.2,1.561,0.926,Scores reflect quality against ground truth and task requirements.,none,High-quality output; slightly verbose but all content earns its place.,
instruction_q1,openai/gpt-4o-mini,3,4,4,5,5,4,4.167,3.9,3.042,0.781,Scores reflect quality against ground truth and task requirements.,none,Efficient output but hedges slightly on nuanced edge cases.,
instruction_q1,google/gemini-2.0-flash-001,3,4,4,4,4,4,3.833,3.75,1.825,0.728,Scores reflect quality against ground truth and task requirements.,none,Very fast first-token latency and consistently concise responses.,
instruction_q1,deepseek/deepseek-chat,4,4,5,4,4,4,4.167,2.597,1.828,0.794,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,
instruction_q1,meta-llama/llama-3.3-70b-instruct,3,4,4,5,5,5,4.333,4.1,1.892,0.811,Scores reflect quality against ground truth and task requirements.,none,Good budget option for volume tasks.,
factual_q2,anthropic/claude-sonnet-4-5,5,5,5,4,3,4,4.333,4.6,1.271,0.955,Scores reflect quality against ground truth and task requirements.,none,High-quality output; slightly verbose but all content earns its place.,
factual_q2,openai/gpt-4o-mini,4,3,4,4,5,5,4.167,4.05,4.252,0.82,Scores reflect quality against ground truth and task requirements.,none,Mostly accurate with minor imprecision; good value for simple tasks.,
factual_q2,google/gemini-2.0-flash-001,4,4,4,5,5,4,4.333,4.15,2.61,0.923,Scores reflect quality against ground truth and task requirements.,none,Good accuracy on factual tasks; strong instruction following.,
factual_q2,deepseek/deepseek-chat,5,4,5,3,4,4,4.167,3.346,1.781,0.797,Scores reflect quality against ground truth and task requirements.,imprecise wording,Good all-rounder with very low cost per answer.,
factual_q2,meta-llama/llama-3.3-70b-instruct,3,4,3,4,4,4,3.667,2.645,1.183,0.693,Scores reflect quality against ground truth and task requirements.,none,Good budget option for volume tasks.,
reasoning_q2,anthropic/claude-sonnet-4-5,4,4,5,5,3,5,4.333,4.45,2.257,0.865,Scores reflect quality against ground truth and task requirements.,none,High-quality output; slightly verbose but all content earns its place.,
reasoning_q2,openai/gpt-4o-mini,5,4,5,5,4,5,4.667,4.092,2.31,0.735,Scores reflect quality against ground truth and task requirements.,none,Efficient output but hedges slightly on nuanced edge cases.,
reasoning_q2,google/gemini-2.0-flash-001,5,3,5,5,3,4,4.167,4.3,3.472,0.942,Scores reflect quality against ground truth and task requirements.,none,Excellent cost-efficiency — one of the best value-per-token models.,
reasoning_q2,deepseek/deepseek-chat,4,4,5,4,5,3,4.167,4.05,1.641,0.902,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,
reasoning_q2,meta-llama/llama-3.3-70b-instruct,4,4,4,2,4,3,3.5,3.6,2.147,0.696,Scores reflect quality against ground truth and task requirements.,minor verbosity,Good budget option for volume tasks.,
coding_q2,anthropic/claude-sonnet-4-5,4,4,4,4,4,5,4.167,2.792,1.248,0.909,Scores reflect quality against ground truth and task requirements.,none,High-quality output; slightly verbose but all content earns its place.,
coding_q2,openai/gpt-4o-mini,1,5,1,1,5,1,2.33,1.0,0.0,0.9,Model refused or excessively hedged without completing the task.,refusal/over-hedging,Refused to answer — not useful for this task.,
coding_q2,google/gemini-2.0-flash-001,4,4,4,4,4,4,4.0,4.0,1.606,0.892,Scores reflect quality against ground truth and task requirements.,none,Excellent cost-efficiency — one of the best value-per-token models.,
coding_q2,deepseek/deepseek-chat,5,4,4,4,4,4,4.167,4.25,2.495,0.763,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,
coding_q2,meta-llama/llama-3.3-70b-instruct,1,5,1,1,5,1,2.33,1.0,0.0,0.9,Model refused or excessively hedged without completing the task.,refusal/over-hedging,Refused to answer — not useful for this task.,
hallucination_q2,anthropic/claude-sonnet-4-5,4,5,4,4,2,4,3.833,3.746,0.973,0.815,Scores reflect quality against ground truth and task requirements.,none,No fabricated facts; completes task fully with clear reasoning.,
hallucination_q2,openai/gpt-4o-mini,3,3,4,4,5,5,4.0,3.8,2.985,0.789,Scores reflect quality against ground truth and task requirements.,imprecise wording,Fast and concise — solid for everyday straightforward queries.,
hallucination_q2,google/gemini-2.0-flash-001,4,5,4,4,4,4,4.167,4.2,1.722,0.885,Scores reflect quality against ground truth and task requirements.,none,Excellent cost-efficiency — one of the best value-per-token models.,
hallucination_q2,deepseek/deepseek-chat,3,3,4,5,4,3,3.667,3.45,2.981,0.709,Scores reflect quality against ground truth and task requirements.,none,Good all-rounder with very low cost per answer.,
hallucination_q2,meta-llama/llama-3.3-70b-instruct,4,3,4,3,3,4,3.5,3.65,2.713,0.597,Scores reflect quality against ground truth and task requirements.,none,Good budget option for volume tasks.,
